iter	Passed	Remaining
0	0	64
1	1	59
2	1	59
3	2	56
4	2	54
5	3	52
6	3	51
7	4	50
8	4	50
9	5	49
10	5	48
11	6	47
12	7	47
13	7	46
14	8	45
15	8	44
16	8	43
17	9	43
18	9	42
19	10	41
20	10	41
21	11	40
22	12	40
23	12	39
24	13	39
25	13	38
26	14	37
27	14	37
28	15	36
29	15	36
30	16	35
31	16	35
32	17	34
33	17	33
34	17	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
